Adresse;Bezeichnung;Größe
3674784;negative Begrenzung der Wunschbeschleunigung für ACC F2S;5x1
3674806;negative Begrenzung der Wunschbeschleunigung für GRA;5x1
3674828;Kennlinie zur Negative Grenze für Beschleuningungssollwert;5x1
3674850;Kennlinie zur Positive Grenze für Beschleuningungssollwert;5x1
3674860;Offset auf Negative Beschleuningungsbegrenzung;1x1
3674862;Schwelle für Überwachung der negativen Wunschbeschleunigung;1x1
3674864;Schwelle für Überwachung der positiven Wunschbeschleunigung;1x1
3674866;"Regelabweichung für Erkennung auf """"weiche"""" Bremse";1x1
3676284;Positive Regelabweichnungs-Schwelle zum Abbruch des Übertretens durch GRA;1x1
3674868;"Regelabweichung für Diagnose """"zu große Beschleunigung";1x1
3674870;Mindest-Verzögerung im Schub;1x1
3674872;Fahrerwunschbeschleunigung bei kleinen Geschwindigkeiten bzw. im Stand;1x1
3674874;Offset in Berechnung der Fahrerwunschbeschleunigung;1x1
3676286;Sollbeschleunigung für Getriebe, wenn ACCI nicht aktiv;1x1
3712172;Erdbeschleunigung;1x1
3712174;Maximalverzögerung für Steigungsberechnung;1x1
3712176;Obere Beschleunigungsgrenze fürSteigungsberechnung;1x1
3712178;Obere Beschleunigungsgrenze fürSteigungsberechnung bei ausgetastetem ESP;1x1
3676288;Sollbeschleunigung bei der die Bremse sicher löst;1x1
3676290;Beschleunigungsgrenze für den Übergang ins Halten für Soft-Stop-Funktion;1x1
3712140;Maximal zulässiger Wert für die ACC-Beschleunigungstoleranz;1x1
3676704;Schalter zum Ausblenden der Überwachung;1x1
3674876;Rampensteigung für Reduzierung der Beschleunigung bei GRA-Betrieb;1x1
3674878;Rampensteigung für Erhöhung der Beschleunigung bei GRA-Betrieb;1x1
3674880;Maximaler Gradient für ACC-Beschleunigungssollwert;1x1
3674882;Minimale Rampensteigung für Beschleunigung bei ACC-Aktivierung oder Deaktivierung;1x1
3712958;Kennfeld zur Beechnung der nagativen Rampensteigungsbegrenzung für Reglerbeschleunigung;7x6
3713072;Kennfeld für Basiswert für Rampensteigungsbegrenzung des Reglerwertes;7x6
3713236;Kennfeld für die Berechnung der positiven Rampensteigungs-begrenzung (wenn Regler im Leerlaufbetrieb);7x6
